"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 18 07:34:39 GMT 2024","Thu Jul 18 07:34:39 GMT 2024","212","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Jul 18 07:34:41 GMT 2024","Thu Jul 18 07:34:42 GMT 2024","1085","test","test_hootel","TestHootel","","","test_hotel_list",""
