"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 07:41:02 GMT 2024","Thu Jul 18 07:41:03 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Thu Jul 18 07:40:58 GMT 2024","Thu Jul 18 07:41:00 GMT 2024","1852","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
